Accumulator
name,Input Width (bits),Output Width (bits),Clock Delay (ps),Slack (ps),Cell count,Area (um^2),Leakage Power (nW),Dynamic Power (nW),Total Power (nW)
accumulator_IN_8_OUT_8_clk_200,8,8,200,0,36,24.252,504.643,306674.465,307179.108
accumulator_IN_8_OUT_8_clk_300,8,8,300,49,48,23.829,504.442,195901.314,196405.756
accumulator_IN_8_OUT_8_clk_400,8,8,400,148,48,23.829,513.127,163123.860,163636.987
accumulator_IN_8_OUT_8_clk_500,8,8,500,247,38,22.136,423.249,128874.514,129297.762
accumulator_IN_8_OUT_8_clk_550,8,8,550,298,38,22.136,420.402,121310.665,121731.066
accumulator_IN_8_OUT_8_clk_600,8,8,600,348,38,22.136,416.123,113835.147,114251.270
accumulator_IN_8_OUT_8_clk_650,8,8,650,398,38,22.136,416.238,107414.512,107830.750
accumulator_IN_8_OUT_8_clk_700,8,8,700,448,38,22.136,415.817,102799.123,103214.940
accumulator_IN_8_OUT_8_clk_750,8,8,750,498,38,22.136,416.076,97142.629,97558.706
accumulator_IN_8_OUT_8_clk_800,8,8,800,548,38,22.136,416.092,94316.212,94732.304
accumulator_IN_8_OUT_16_clk_200,8,16,200,0,127,60.722,1484.805,780893.555,782378.359
accumulator_IN_8_OUT_16_clk_300,8,16,300,18,77,53.101,1242.325,439029.939,440272.264
accumulator_IN_8_OUT_16_clk_400,8,16,400,21,60,48.142,1046.223,319111.746,320157.969
accumulator_IN_8_OUT_16_clk_500,8,16,500,93,46,44.150,874.724,251814.652,252689.377
accumulator_IN_8_OUT_16_clk_550,8,16,550,146,43,43.546,871.839,232316.897,233188.735
accumulator_IN_8_OUT_16_clk_600,8,16,600,196,43,43.546,871.615,220222.330,221093.945
accumulator_IN_8_OUT_16_clk_650,8,16,650,246,43,43.546,872.026,207400.970,208272.995
accumulator_IN_8_OUT_16_clk_700,8,16,700,296,43,43.546,871.827,196155.422,197027.249
accumulator_IN_8_OUT_16_clk_750,8,16,750,346,43,43.546,871.714,186044.972,186916.685
accumulator_IN_8_OUT_16_clk_800,8,16,800,396,43,43.546,871.999,176919.844,177791.843
accumulator_IN_16_OUT_16_clk_200,16,16,200,2,120,60.299,1335.507,793568.770,794904.278
accumulator_IN_16_OUT_16_clk_300,16,16,300,23,72,53.525,1152.881,458043.417,459196.297
accumulator_IN_16_OUT_16_clk_400,16,16,400,48,62,48.324,989.760,321225.901,322215.662
accumulator_IN_16_OUT_16_clk_500,16,16,500,93,32,43.062,753.288,243049.290,243802.579
accumulator_IN_16_OUT_16_clk_550,16,16,550,152,32,43.062,774.543,230730.560,231505.103
accumulator_IN_16_OUT_16_clk_600,16,16,600,202,32,43.062,774.408,218316.228,219090.636
accumulator_IN_16_OUT_16_clk_650,16,16,650,252,32,43.062,774.662,207906.602,208681.264
accumulator_IN_16_OUT_16_clk_700,16,16,700,302,32,43.062,774.617,198368.562,199143.178
accumulator_IN_16_OUT_16_clk_750,16,16,750,352,32,43.062,774.340,191555.858,192330.197
accumulator_IN_16_OUT_16_clk_800,16,16,800,402,32,43.062,774.401,182094.925,182869.327
accumulator_IN_8_OUT_24_clk_200,8,24,200,0,196,95.135,2412.743,1199551.314,1201964.057
accumulator_IN_8_OUT_24_clk_300,8,24,300,1,174,84.732,2025.842,734115.557,736141.399
accumulator_IN_8_OUT_24_clk_400,8,24,400,40,159,80.922,1895.424,564632.537,566527.961
accumulator_IN_8_OUT_24_clk_500,8,24,500,25,100,74.874,1668.125,424495.455,426163.579
accumulator_IN_8_OUT_24_clk_550,8,24,550,38,94,72.757,1574.357,383818.319,385392.676
accumulator_IN_8_OUT_24_clk_600,8,24,600,42,87,71.124,1548.857,347966.188,349515.045
accumulator_IN_8_OUT_24_clk_650,8,24,650,61,79,68.645,1419.383,318932.070,320351.452
accumulator_IN_8_OUT_24_clk_700,8,24,700,116,73,66.830,1346.587,292525.948,293872.535
accumulator_IN_8_OUT_24_clk_750,8,24,750,189,85,70.822,1568.986,302998.318,304567.304
accumulator_IN_8_OUT_24_clk_800,8,24,800,223,67,65.318,1320.838,260669.758,261990.596
accumulator_IN_16_OUT_24_clk_200,16,24,200,0,201,98.945,2552.906,1258128.316,1260681.222
accumulator_IN_16_OUT_24_clk_300,16,24,300,2,165,84.128,1918.512,719260.627,721179.139
accumulator_IN_16_OUT_24_clk_400,16,24,400,7,118,81.225,1822.432,530972.929,532795.361
accumulator_IN_16_OUT_24_clk_500,16,24,500,28,92,74.753,1627.242,420903.520,422530.762
accumulator_IN_16_OUT_24_clk_550,16,24,550,38,86,72.757,1500.697,383223.198,384723.895
accumulator_IN_16_OUT_24_clk_600,16,24,600,135,102,72.939,1559.195,374106.730,375665.925
accumulator_IN_16_OUT_24_clk_650,16,24,650,61,71,68.645,1346.455,325326.447,326672.902
accumulator_IN_16_OUT_24_clk_700,16,24,700,116,65,66.830,1273.374,298685.647,299959.021
accumulator_IN_16_OUT_24_clk_750,16,24,750,213,73,69.189,1414.569,303137.530,304552.100
accumulator_IN_16_OUT_24_clk_800,16,24,800,224,59,65.318,1247.527,270446.998,271694.525
accumulator_IN_24_OUT_24_clk_200,24,24,200,0,207,103.118,2518.770,1394041.385,1396560.155
accumulator_IN_24_OUT_24_clk_300,24,24,300,1,157,83.946,1825.514,730315.538,732141.052
accumulator_IN_24_OUT_24_clk_400,24,24,400,8,103,79.471,1680.077,519155.450,520835.526
accumulator_IN_24_OUT_24_clk_500,24,24,500,39,85,74.693,1540.967,418457.364,419998.331
accumulator_IN_24_OUT_24_clk_550,24,24,550,126,108,75.056,1569.683,414894.825,416464.508
accumulator_IN_24_OUT_24_clk_600,24,24,600,60,68,70.399,1347.736,352585.951,353933.687
accumulator_IN_24_OUT_24_clk_650,24,24,650,67,60,68.161,1241.974,327811.201,329053.175
accumulator_IN_24_OUT_24_clk_700,24,24,700,123,54,66.347,1177.744,304246.532,305424.276
