Mux
name,Output Width (bits),N (Input Width = N * Output Width),Clock Delay (ps),Slack (ps),Cell count,Area (um^2),Leakage Power (nW),Dynamic Power (nW),Total Power (nW)
mux_n_1_data_1_N_2_clk_200,1,2,200,187,1,0.605,14.264,4803.455,4817.719
mux_n_1_data_1_N_2_clk_300,1,2,300,287,1,0.605,14.262,4548.913,4563.176
mux_n_1_data_1_N_2_clk_400,1,2,400,387,1,0.605,14.266,3576.698,3590.964
mux_n_1_data_1_N_2_clk_500,1,2,500,487,1,0.605,14.265,3009.143,3023.408
mux_n_1_data_1_N_2_clk_550,1,2,550,537,1,0.605,14.260,2762.270,2776.530
mux_n_1_data_1_N_2_clk_600,1,2,600,587,1,0.605,14.263,2538.465,2552.728
mux_n_1_data_1_N_2_clk_650,1,2,650,637,1,0.605,14.265,2380.616,2394.880
mux_n_1_data_1_N_2_clk_700,1,2,700,687,1,0.605,14.263,2234.254,2248.517
mux_n_1_data_1_N_2_clk_750,1,2,750,737,1,0.605,14.260,2037.608,2051.867
mux_n_1_data_1_N_2_clk_800,1,2,800,787,1,0.605,14.263,1943.252,1957.515
mux_n_1_data_1_N_4_clk_200,1,4,200,178,3,1.452,34.172,13787.419,13821.591
mux_n_1_data_1_N_4_clk_300,1,4,300,278,3,1.452,35.337,11379.783,11415.120
mux_n_1_data_1_N_4_clk_400,1,4,400,378,3,1.452,35.357,9024.385,9059.742
mux_n_1_data_1_N_4_clk_500,1,4,500,478,3,1.452,35.310,7690.467,7725.776
mux_n_1_data_1_N_4_clk_550,1,4,550,528,3,1.452,35.335,7011.316,7046.651
mux_n_1_data_1_N_4_clk_600,1,4,600,578,3,1.452,35.366,6408.038,6443.403
mux_n_1_data_1_N_4_clk_650,1,4,650,628,3,1.452,35.304,6027.110,6062.414
mux_n_1_data_1_N_4_clk_700,1,4,700,678,3,1.452,35.332,5591.335,5626.668
mux_n_1_data_1_N_4_clk_750,1,4,750,728,3,1.452,35.342,5295.912,5331.254
