Synchronous Register
name,Synchronous/Asynchronous,Width (bits),Clock Delay (ps),Slack (ps),Cell count,Area (um^2),Leakage Power (nW),Dynamic Power (nW),Total Power (nW)
register_sync_width_8_clk_200,Synchronous,8,200,126,25,13.306,225.960,203968.092,204194.052
register_sync_width_8_clk_300,Synchronous,8,300,226,25,13.306,226.741,133225.796,133452.537
register_sync_width_8_clk_400,Synchronous,8,400,326,25,13.306,226.874,105662.810,105889.684
register_sync_width_8_clk_500,Synchronous,8,500,426,25,13.306,226.758,87478.449,87705.207
register_sync_width_8_clk_550,Synchronous,8,550,476,25,13.306,227.223,80339.539,80566.762
register_sync_width_8_clk_600,Synchronous,8,600,526,25,13.306,226.950,75139.177,75366.127
register_sync_width_8_clk_650,Synchronous,8,650,576,25,13.306,226.430,70157.718,70384.148
register_sync_width_8_clk_700,Synchronous,8,700,626,25,13.306,227.178,66227.053,66454.230
register_sync_width_8_clk_750,Synchronous,8,750,676,25,13.306,227.200,61854.761,62081.961
register_sync_width_8_clk_800,Synchronous,8,800,726,25,13.306,226.749,57863.843,58090.592
register_sync_width_16_clk_200,Synchronous,16,200,126,49,26.369,429.902,345375.507,345805.409
register_sync_width_16_clk_300,Synchronous,16,300,226,49,26.369,443.718,264442.209,264885.927
register_sync_width_16_clk_400,Synchronous,16,400,326,49,26.369,444.190,210907.218,211351.408
register_sync_width_16_clk_500,Synchronous,16,500,426,49,26.369,445.049,174133.312,174578.360
register_sync_width_16_clk_550,Synchronous,16,550,476,49,26.369,444.377,159358.744,159803.121
register_sync_width_16_clk_600,Synchronous,16,600,526,49,26.369,444.336,148563.964,149008.300
register_sync_width_16_clk_650,Synchronous,16,650,576,49,26.369,444.780,139583.681,140028.461
register_sync_width_16_clk_700,Synchronous,16,700,626,49,26.369,444.641,129340.355,129784.997
register_sync_width_16_clk_750,Synchronous,16,750,676,49,26.369,443.807,121791.370,122235.178
register_sync_width_16_clk_800,Synchronous,16,800,726,49,26.369,444.840,115230.276,115675.116
register_sync_width_24_clk_200,Synchronous,24,200,126,73,39.433,644.258,536916.514,537560.772
register_sync_width_24_clk_300,Synchronous,24,300,226,73,39.433,662.008,397384.012,398046.019
register_sync_width_24_clk_400,Synchronous,24,400,326,73,39.433,661.760,315455.020,316116.781
register_sync_width_24_clk_500,Synchronous,24,500,426,73,39.433,662.911,260262.777,260925.688
register_sync_width_24_clk_550,Synchronous,24,550,476,73,39.433,662.363,240423.908,241086.271
register_sync_width_24_clk_600,Synchronous,24,600,526,73,39.433,662.557,223108.884,223771.441
