Register File
name,Data Width (bits),Addr Width (bits),Clock Delay (ps),Slack (ps),Cell count,Area (um^2),Leakage Power (nW),Dynamic Power (nW),Total Power (nW)
register_file_sp_DATA_1_ADDR_1_clk_200,1,1,200,122,7,5.564,88.860,76805.015,76893.875
register_file_sp_DATA_1_ADDR_1_clk_300,1,1,300,222,7,5.564,88.870,54830.670,54919.540
register_file_sp_DATA_1_ADDR_1_clk_400,1,1,400,322,7,5.564,88.898,41786.786,41875.684
register_file_sp_DATA_1_ADDR_1_clk_500,1,1,500,422,7,5.564,88.902,34031.665,34120.566
register_file_sp_DATA_1_ADDR_1_clk_550,1,1,550,472,7,5.564,88.912,31063.982,31152.894
register_file_sp_DATA_1_ADDR_1_clk_600,1,1,600,522,7,5.564,88.816,28980.646,29069.462
register_file_sp_DATA_1_ADDR_1_clk_650,1,1,650,572,7,5.564,88.891,26843.686,26932.577
register_file_sp_DATA_1_ADDR_1_clk_700,1,1,700,622,7,5.564,88.817,24990.680,25079.497
register_file_sp_DATA_1_ADDR_1_clk_750,1,1,750,672,7,5.564,88.852,23412.067,23500.919
register_file_sp_DATA_1_ADDR_1_clk_800,1,1,800,722,7,5.564,88.872,22109.211,22198.084
register_file_sp_DATA_1_ADDR_2_clk_200,1,2,200,114,14,10.040,154.877,128722.086,128876.963
register_file_sp_DATA_1_ADDR_2_clk_300,1,2,300,214,14,10.040,161.247,92778.227,92939.474
register_file_sp_DATA_1_ADDR_2_clk_400,1,2,400,314,14,10.040,161.646,71353.502,71515.148
register_file_sp_DATA_1_ADDR_2_clk_500,1,2,500,414,14,10.040,161.401,58256.962,58418.363
register_file_sp_DATA_1_ADDR_2_clk_550,1,2,550,464,14,10.040,161.825,53356.902,53518.727
register_file_sp_DATA_1_ADDR_2_clk_600,1,2,600,514,14,10.040,161.778,49634.696,49796.474
register_file_sp_DATA_1_ADDR_2_clk_650,1,2,650,564,14,10.040,162.001,45590.451,45752.452
register_file_sp_DATA_1_ADDR_2_clk_700,1,2,700,614,14,10.040,161.684,42815.437,42977.121
register_file_sp_DATA_1_ADDR_2_clk_750,1,2,750,664,14,10.040,161.635,39987.885,40149.521
register_file_sp_DATA_1_ADDR_2_clk_800,1,2,800,714,14,10.040,161.706,37709.203,37870.909
register_file_sp_DATA_1_ADDR_4_clk_200,1,4,200,81,70,38.344,618.901,464439.144,465058.044
register_file_sp_DATA_1_ADDR_4_clk_300,1,4,300,181,70,38.344,607.182,332764.214,333371.396
register_file_sp_DATA_1_ADDR_4_clk_400,1,4,400,281,70,38.344,607.276,253778.448,254385.724
register_file_sp_DATA_1_ADDR_4_clk_500,1,4,500,381,70,38.344,607.363,205547.643,206155.006
register_file_sp_DATA_1_ADDR_4_clk_550,1,4,550,431,70,38.344,607.407,187754.133,188361.539
register_file_sp_DATA_1_ADDR_4_clk_600,1,4,600,481,70,38.344,607.348,173111.613,173718.961
register_file_sp_DATA_1_ADDR_4_clk_650,1,4,650,531,70,38.344,607.776,160234.968,160842.745
register_file_sp_DATA_1_ADDR_4_clk_700,1,4,700,581,70,38.344,607.461,149839.144,150446.606
register_file_sp_DATA_1_ADDR_4_clk_750,1,4,750,631,70,38.344,607.176,140865.854,141473.030
register_file_sp_DATA_1_ADDR_4_clk_800,1,4,800,681,70,38.344,607.286,132358.647,132965.933
register_file_sp_DATA_1_ADDR_8_clk_200,1,8,200,2,1025,554.057,8502.051,6224918.762,6233420.812
register_file_sp_DATA_1_ADDR_8_clk_300,1,8,300,54,730,494.424,6241.360,3999917.569,4006158.929
register_file_sp_DATA_1_ADDR_8_clk_400,1,8,400,152,730,494.424,6252.789,3062475.896,3068728.684
register_file_sp_DATA_1_ADDR_8_clk_500,1,8,500,252,730,494.424,6250.187,2484036.430,2490286.617
register_file_sp_DATA_1_ADDR_8_clk_550,1,8,550,302,730,494.424,6251.133,2275574.355,2281825.489
register_file_sp_DATA_1_ADDR_8_clk_600,1,8,600,352,730,494.424,6251.350,2095336.139,2101587.489
register_file_sp_DATA_1_ADDR_8_clk_650,1,8,650,402,730,494.424,6251.398,1938759.505,1945010.904
register_file_sp_DATA_1_ADDR_8_clk_700,1,8,700,452,730,494.424,6251.231,1813511.748,1819762.978
register_file_sp_DATA_1_ADDR_8_clk_750,1,8,750,502,730,494.424,6249.672,1696480.277,1702729.949
register_file_sp_DATA_1_ADDR_8_clk_800,1,8,800,552,730,494.424,6250.400,1595466.094,1601716.494
register_file_sp_DATA_2_ADDR_1_clk_200,2,1,200,122,11,10.161,151.633,145510.280,145661.913
register_file_sp_DATA_2_ADDR_1_clk_300,2,1,300,222,11,10.161,151.613,100207.941,100359.553
register_file_sp_DATA_2_ADDR_1_clk_400,2,1,400,322,11,10.161,151.613,76365.137,76516.750
register_file_sp_DATA_2_ADDR_1_clk_500,2,1,500,422,11,10.161,151.586,62438.593,62590.180
register_file_sp_DATA_2_ADDR_1_clk_550,2,1,550,472,11,10.161,151.550,56934.309,57085.859
register_file_sp_DATA_2_ADDR_1_clk_600,2,1,600,522,11,10.161,151.685,52907.691,53059.376
register_file_sp_DATA_2_ADDR_1_clk_650,2,1,650,572,11,10.161,151.627,49088.184,49239.811
register_file_sp_DATA_2_ADDR_1_clk_700,2,1,700,622,11,10.161,151.612,45448.019,45599.631
register_file_sp_DATA_2_ADDR_1_clk_750,2,1,750,672,11,10.161,151.623,42716.806,42868.429
register_file_sp_DATA_2_ADDR_1_clk_800,2,1,800,722,11,10.161,151.641,40127.816,40279.457
register_file_sp_DATA_2_ADDR_2_clk_200,2,2,200,107,27,18.446,291.124,237629.621,237920.744
register_file_sp_DATA_2_ADDR_2_clk_300,2,2,300,207,27,18.446,296.119,178042.715,178338.833
register_file_sp_DATA_2_ADDR_2_clk_400,2,2,400,307,27,18.446,296.293,137813.250,138109.544
register_file_sp_DATA_2_ADDR_2_clk_500,2,2,500,407,27,18.446,296.675,112880.940,113177.615
register_file_sp_DATA_2_ADDR_2_clk_550,2,2,550,457,27,18.446,296.408,102636.902,102933.310
register_file_sp_DATA_2_ADDR_2_clk_600,2,2,600,507,27,18.446,296.501,95423.785,95720.287
register_file_sp_DATA_2_ADDR_2_clk_650,2,2,650,557,27,18.446,295.764,88102.514,88398.279
register_file_sp_DATA_2_ADDR_2_clk_700,2,2,700,607,27,18.446,295.934,81906.145,82202.079
register_file_sp_DATA_2_ADDR_2_clk_750,2,2,750,657,27,18.446,296.023,77172.850,77468.872
register_file_sp_DATA_2_ADDR_2_clk_800,2,2,800,707,27,18.446,296.003,73028.381,73324.384
register_file_sp_DATA_2_ADDR_4_clk_200,2,4,200,83,94,66.044,950.414,831673.975,832624.388
register_file_sp_DATA_2_ADDR_4_clk_300,2,4,300,184,94,66.044,957.046,580979.057,581936.103
register_file_sp_DATA_2_ADDR_4_clk_400,2,4,400,284,94,66.044,956.315,445494.289,446450.604
register_file_sp_DATA_2_ADDR_4_clk_500,2,4,500,384,94,66.044,956.312,362743.923,363700.235
