Shifter
name,Input Width (bits),Output Width (bits),Clock Delay (ps),Slack (ps),Cell count,Area (um^2),Leakage Power (nW),Dynamic Power (nW),Total Power (nW)
shifter_IN_1_OUT_2_clk_200,1,2,200,192,1,0.302,11.199,5116.745,5127.945
shifter_IN_1_OUT_2_clk_300,1,2,300,292,1,0.302,11.181,3257.936,3269.117
shifter_IN_1_OUT_2_clk_400,1,2,400,392,1,0.302,11.188,2518.902,2530.090
shifter_IN_1_OUT_2_clk_500,1,2,500,492,1,0.302,11.188,2088.742,2099.930
shifter_IN_1_OUT_2_clk_550,1,2,550,542,1,0.302,11.179,1869.100,1880.280
shifter_IN_1_OUT_2_clk_600,1,2,600,592,1,0.302,11.193,1744.497,1755.690
shifter_IN_1_OUT_2_clk_650,1,2,650,642,1,0.302,11.195,1609.761,1620.955
shifter_IN_1_OUT_2_clk_700,1,2,700,692,1,0.302,11.200,1495.325,1506.525
shifter_IN_1_OUT_2_clk_750,1,2,750,742,1,0.302,11.179,1397.051,1408.231
shifter_IN_1_OUT_2_clk_800,1,2,800,792,1,0.302,11.179,1275.181,1286.360
shifter_IN_1_OUT_4_clk_200,1,4,200,190,3,1.089,31.609,16710.062,16741.671
shifter_IN_1_OUT_4_clk_300,1,4,300,290,3,1.089,31.555,10542.345,10573.900
shifter_IN_1_OUT_4_clk_400,1,4,400,390,3,1.089,31.572,8104.907,8136.479
shifter_IN_1_OUT_4_clk_500,1,4,500,490,3,1.089,31.570,6676.160,6707.730
shifter_IN_1_OUT_4_clk_550,1,4,550,540,3,1.089,31.562,6038.831,6070.393
shifter_IN_1_OUT_4_clk_600,1,4,600,590,3,1.089,31.585,5660.581,5692.167
shifter_IN_1_OUT_4_clk_650,1,4,650,640,3,1.089,31.576,5195.442,5227.018
shifter_IN_1_OUT_4_clk_700,1,4,700,690,3,1.089,31.592,4815.916,4847.507
shifter_IN_1_OUT_4_clk_750,1,4,750,740,3,1.089,31.562,4512.850,4544.412
shifter_IN_1_OUT_4_clk_800,1,4,800,790,3,1.089,31.570,4132.994,4164.564
shifter_IN_2_OUT_4_clk_200,2,4,200,174,7,2.419,75.701,21526.289,21601.989
shifter_IN_2_OUT_4_clk_300,2,4,300,274,7,2.419,74.411,19441.431,19515.842
shifter_IN_2_OUT_4_clk_400,2,4,400,374,7,2.419,74.710,15442.267,15516.978
shifter_IN_2_OUT_4_clk_500,2,4,500,474,7,2.419,74.615,12809.562,12884.177
shifter_IN_2_OUT_4_clk_550,2,4,550,524,7,2.419,74.794,11921.053,11995.847
shifter_IN_2_OUT_4_clk_600,2,4,600,574,7,2.419,74.567,10913.976,10988.543
shifter_IN_2_OUT_4_clk_650,2,4,650,624,7,2.419,74.721,10278.174,10352.895
shifter_IN_2_OUT_4_clk_700,2,4,700,674,7,2.419,74.630,9432.997,9507.626
shifter_IN_2_OUT_4_clk_750,2,4,750,724,7,2.419,74.385,8981.202,9055.587
shifter_IN_2_OUT_4_clk_800,2,4,800,774,7,2.419,74.942,8488.635,8563.577
shifter_IN_1_OUT_8_clk_200,1,8,200,156,10,3.205,91.390,45404.587,45495.977
shifter_IN_1_OUT_8_clk_300,1,8,300,256,10,3.205,90.305,23879.535,23969.841
shifter_IN_1_OUT_8_clk_400,1,8,400,356,10,3.205,90.419,19359.239,19449.658
shifter_IN_1_OUT_8_clk_500,1,8,500,456,10,3.205,90.452,16557.815,16648.267
shifter_IN_1_OUT_8_clk_550,1,8,550,506,10,3.205,90.292,14839.820,14930.112
shifter_IN_1_OUT_8_clk_600,1,8,600,556,10,3.205,90.340,14015.374,14105.714
shifter_IN_1_OUT_8_clk_650,1,8,650,606,10,3.205,90.339,12952.826,13043.165
shifter_IN_1_OUT_8_clk_700,1,8,700,656,10,3.205,90.322,12054.093,12144.416
shifter_IN_1_OUT_8_clk_750,1,8,750,706,10,3.205,90.219,11293.190,11383.409
shifter_IN_1_OUT_8_clk_800,1,8,800,756,10,3.205,90.314,10245.556,10335.870
shifter_IN_2_OUT_8_clk_200,2,8,200,151,17,5.262,150.229,56193.522,56343.752
shifter_IN_2_OUT_8_clk_300,2,8,300,251,17,5.262,145.957,43245.105,43391.062
shifter_IN_2_OUT_8_clk_400,2,8,400,351,17,5.262,146.496,35081.570,35228.066
shifter_IN_2_OUT_8_clk_500,2,8,500,451,17,5.262,146.147,29318.828,29464.975
shifter_IN_2_OUT_8_clk_550,2,8,550,501,17,5.262,146.381,27454.841,27601.222
shifter_IN_2_OUT_8_clk_600,2,8,600,551,17,5.262,146.099,24834.999,24981.098
