Adder
name,Input 0 Width (bits),Input 1 Width (bits),Output Width (bits),Clock Delay (ps),Slack (ps),Cell count,Area (um^2),Leakage Power (nW),Dynamic Power (nW),Total Power (nW)
adder_IN0_1_IN1_1_OUT_1_clk_200,1,1,1,200,188,1,0.484,17.294,3535.083,3552.377
adder_IN0_1_IN1_1_OUT_1_clk_300,1,1,1,300,288,1,0.484,17.302,4005.064,4022.366
adder_IN0_1_IN1_1_OUT_1_clk_400,1,1,1,400,388,1,0.484,17.306,3670.661,3687.968
adder_IN0_1_IN1_1_OUT_1_clk_500,1,1,1,500,488,1,0.484,17.306,3304.797,3322.104
adder_IN0_1_IN1_1_OUT_1_clk_550,1,1,1,550,538,1,0.484,17.292,3083.756,3101.048
adder_IN0_1_IN1_1_OUT_1_clk_600,1,1,1,600,588,1,0.484,17.300,2960.648,2977.949
adder_IN0_1_IN1_1_OUT_1_clk_650,1,1,1,650,638,1,0.484,17.311,2776.101,2793.412
adder_IN0_1_IN1_1_OUT_1_clk_700,1,1,1,700,688,1,0.484,17.304,2614.675,2631.980
adder_IN0_1_IN1_1_OUT_1_clk_750,1,1,1,750,738,1,0.484,17.292,2447.833,2465.124
adder_IN0_1_IN1_1_OUT_1_clk_800,1,1,1,800,788,1,0.484,17.292,2295.994,2313.285
adder_IN0_1_IN1_1_OUT_2_clk_200,1,1,2,200,189,2,0.786,28.919,5885.354,5914.274
adder_IN0_1_IN1_1_OUT_2_clk_300,1,1,2,300,289,2,0.786,28.936,6812.712,6841.648
adder_IN0_1_IN1_1_OUT_2_clk_400,1,1,2,400,389,2,0.786,28.946,5939.612,5968.558
adder_IN0_1_IN1_1_OUT_2_clk_500,1,1,2,500,489,2,0.786,28.946,5129.017,5157.963
adder_IN0_1_IN1_1_OUT_2_clk_550,1,1,2,550,539,2,0.786,28.912,4767.908,4796.821
adder_IN0_1_IN1_1_OUT_2_clk_600,1,1,2,600,589,2,0.786,28.933,4558.698,4587.630
adder_IN0_1_IN1_1_OUT_2_clk_650,1,1,2,650,639,2,0.786,28.956,4225.766,4254.722
adder_IN0_1_IN1_1_OUT_2_clk_700,1,1,2,700,689,2,0.786,28.943,4017.871,4046.814
adder_IN0_1_IN1_1_OUT_2_clk_750,1,1,2,750,739,2,0.786,28.912,3782.118,3811.030
adder_IN0_1_IN1_1_OUT_2_clk_800,1,1,2,800,789,2,0.786,28.912,3485.345,3514.257
adder_IN0_2_IN1_1_OUT_2_clk_200,2,1,2,200,176,3,1.270,45.870,11870.442,11916.311
adder_IN0_2_IN1_1_OUT_2_clk_300,2,1,2,300,276,3,1.270,45.463,10536.064,10581.527
adder_IN0_2_IN1_1_OUT_2_clk_400,2,1,2,400,376,3,1.270,45.492,9085.125,9130.617
adder_IN0_2_IN1_1_OUT_2_clk_500,2,1,2,500,476,3,1.270,45.462,7957.428,8002.890
adder_IN0_2_IN1_1_OUT_2_clk_550,2,1,2,550,526,3,1.270,45.451,7421.078,7466.529
adder_IN0_2_IN1_1_OUT_2_clk_600,2,1,2,600,576,3,1.270,45.475,6952.567,6998.042
adder_IN0_2_IN1_1_OUT_2_clk_650,2,1,2,650,626,3,1.270,45.467,6701.914,6747.381
adder_IN0_2_IN1_1_OUT_2_clk_700,2,1,2,700,676,3,1.270,45.495,6226.495,6271.990
adder_IN0_2_IN1_1_OUT_2_clk_750,2,1,2,750,726,3,1.270,45.491,5967.142,6012.633
adder_IN0_2_IN1_1_OUT_2_clk_800,2,1,2,800,776,3,1.270,45.430,5575.456,5620.886
adder_IN0_2_IN1_2_OUT_2_clk_200,2,2,2,200,175,3,1.693,55.323,16390.488,16445.811
adder_IN0_2_IN1_2_OUT_2_clk_300,2,2,2,300,275,3,1.693,54.597,11431.449,11486.046
adder_IN0_2_IN1_2_OUT_2_clk_400,2,2,2,400,375,3,1.693,54.639,9836.293,9890.932
adder_IN0_2_IN1_2_OUT_2_clk_500,2,2,2,500,475,3,1.693,54.664,8693.987,8748.651
adder_IN0_2_IN1_2_OUT_2_clk_550,2,2,2,550,525,3,1.693,54.615,8254.517,8309.132
adder_IN0_2_IN1_2_OUT_2_clk_600,2,2,2,600,575,3,1.693,54.692,7858.894,7913.586
adder_IN0_2_IN1_2_OUT_2_clk_650,2,2,2,650,625,3,1.693,54.649,7484.668,7539.317
adder_IN0_2_IN1_2_OUT_2_clk_700,2,2,2,700,675,3,1.693,54.682,7007.874,7062.555
adder_IN0_2_IN1_2_OUT_2_clk_750,2,2,2,750,725,3,1.693,54.657,6799.697,6854.354
adder_IN0_2_IN1_2_OUT_2_clk_800,2,2,2,800,775,3,1.693,54.628,6387.670,6442.298
adder_IN0_1_IN1_1_OUT_4_clk_200,1,1,4,200,188,2,0.786,28.919,5885.354,5914.274
adder_IN0_1_IN1_1_OUT_4_clk_300,1,1,4,300,288,2,0.786,28.936,7160.484,7189.419
adder_IN0_1_IN1_1_OUT_4_clk_400,1,1,4,400,388,2,0.786,28.946,6251.291,6280.237
adder_IN0_1_IN1_1_OUT_4_clk_500,1,1,4,500,488,2,0.786,28.946,5380.557,5409.503
adder_IN0_1_IN1_1_OUT_4_clk_550,1,1,4,550,538,2,0.786,28.912,5004.129,5033.041
