Signed Multiplier
name,Input 0 Width (bits),Input 1 Width (bits),Output Width (bits),Clock Delay (ps),Slack (ps),Cell count,Area (um^2),Leakage Power (nW),Dynamic Power (nW),Total Power (nW)
signed_mult_IN0_1_IN1_1_OUT_2_clk_200,1,1,2,200,190,2,0.605,10.915,2779.186,2790.101
signed_mult_IN0_1_IN1_1_OUT_2_clk_300,1,1,2,300,290,2,0.605,10.907,3142.025,3152.932
signed_mult_IN0_1_IN1_1_OUT_2_clk_400,1,1,2,400,390,2,0.605,10.902,2402.079,2412.981
signed_mult_IN0_1_IN1_1_OUT_2_clk_500,1,1,2,500,490,2,0.605,10.902,2016.951,2027.853
signed_mult_IN0_1_IN1_1_OUT_2_clk_550,1,1,2,550,540,2,0.605,10.919,1871.163,1882.082
signed_mult_IN0_1_IN1_1_OUT_2_clk_600,1,1,2,600,590,2,0.605,10.908,1721.516,1732.425
signed_mult_IN0_1_IN1_1_OUT_2_clk_650,1,1,2,650,640,2,0.605,10.897,1634.020,1644.916
signed_mult_IN0_1_IN1_1_OUT_2_clk_700,1,1,2,700,690,2,0.605,10.903,1487.443,1498.346
signed_mult_IN0_1_IN1_1_OUT_2_clk_750,1,1,2,750,740,2,0.605,10.919,1391.679,1402.598
signed_mult_IN0_1_IN1_1_OUT_2_clk_800,1,1,2,800,790,2,0.605,10.919,1307.146,1318.065
signed_mult_IN0_2_IN1_1_OUT_3_clk_200,2,1,3,200,164,4,1.270,43.445,16339.354,16382.799
signed_mult_IN0_2_IN1_1_OUT_3_clk_300,2,1,3,300,264,4,1.270,43.854,9517.580,9561.434
signed_mult_IN0_2_IN1_1_OUT_3_clk_400,2,1,3,400,364,4,1.270,43.765,7802.135,7845.901
signed_mult_IN0_2_IN1_1_OUT_3_clk_500,2,1,3,500,464,4,1.270,43.723,6420.632,6464.356
signed_mult_IN0_2_IN1_1_OUT_3_clk_550,2,1,3,550,514,4,1.270,43.879,5796.283,5840.161
signed_mult_IN0_2_IN1_1_OUT_3_clk_600,2,1,3,600,564,4,1.270,43.864,5357.613,5401.477
signed_mult_IN0_2_IN1_1_OUT_3_clk_650,2,1,3,650,614,4,1.270,43.758,4944.760,4988.517
signed_mult_IN0_2_IN1_1_OUT_3_clk_700,2,1,3,700,664,4,1.270,43.861,4725.543,4769.404
signed_mult_IN0_2_IN1_1_OUT_3_clk_750,2,1,3,750,714,4,1.270,44.018,4405.658,4449.676
signed_mult_IN0_2_IN1_1_OUT_3_clk_800,2,1,3,800,764,4,1.270,43.801,4236.405,4280.206
signed_mult_IN0_2_IN1_2_OUT_4_clk_200,2,2,4,200,151,7,2.540,83.006,29680.146,29763.152
signed_mult_IN0_2_IN1_2_OUT_4_clk_300,2,2,4,300,251,7,2.540,82.549,18565.570,18648.119
signed_mult_IN0_2_IN1_2_OUT_4_clk_400,2,2,4,400,351,7,2.540,82.612,16136.447,16219.059
signed_mult_IN0_2_IN1_2_OUT_4_clk_500,2,2,4,500,451,7,2.540,82.514,14152.597,14235.111
signed_mult_IN0_2_IN1_2_OUT_4_clk_550,2,2,4,550,501,7,2.540,82.062,12646.464,12728.526
signed_mult_IN0_2_IN1_2_OUT_4_clk_600,2,2,4,600,551,7,2.540,82.710,12546.020,12628.729
signed_mult_IN0_2_IN1_2_OUT_4_clk_650,2,2,4,650,601,7,2.540,82.170,11508.163,11590.333
signed_mult_IN0_2_IN1_2_OUT_4_clk_700,2,2,4,700,651,7,2.540,82.633,11098.513,11181.146
signed_mult_IN0_2_IN1_2_OUT_4_clk_750,2,2,4,750,701,7,2.540,83.029,10259.639,10342.668
signed_mult_IN0_2_IN1_2_OUT_4_clk_800,2,2,4,800,751,7,2.540,82.286,9802.492,9884.778
signed_mult_IN0_4_IN1_1_OUT_5_clk_200,4,1,5,200,128,10,3.568,118.798,37602.363,37721.161
signed_mult_IN0_4_IN1_1_OUT_5_clk_300,4,1,5,300,228,10,3.568,121.699,24407.823,24529.521
signed_mult_IN0_4_IN1_1_OUT_5_clk_400,4,1,5,400,328,10,3.568,121.784,20103.266,20225.050
signed_mult_IN0_4_IN1_1_OUT_5_clk_500,4,1,5,500,428,10,3.568,121.479,17102.181,17223.660
signed_mult_IN0_4_IN1_1_OUT_5_clk_550,4,1,5,550,478,10,3.568,121.927,16381.725,16503.652
signed_mult_IN0_4_IN1_1_OUT_5_clk_600,4,1,5,600,528,10,3.568,121.725,14529.439,14651.164
signed_mult_IN0_4_IN1_1_OUT_5_clk_650,4,1,5,650,578,10,3.568,121.774,13989.214,14110.988
signed_mult_IN0_4_IN1_1_OUT_5_clk_700,4,1,5,700,628,10,3.568,121.622,13346.660,13468.283
signed_mult_IN0_4_IN1_1_OUT_5_clk_750,4,1,5,750,678,10,3.568,121.611,11931.366,12052.977
signed_mult_IN0_4_IN1_1_OUT_5_clk_800,4,1,5,800,728,10,3.568,121.764,11920.872,12042.635
signed_mult_IN0_4_IN1_2_OUT_6_clk_200,4,2,6,200,102,20,8.346,282.380,78581.205,78863.585
signed_mult_IN0_4_IN1_2_OUT_6_clk_300,4,2,6,300,202,20,8.346,286.895,54984.076,55270.971
signed_mult_IN0_4_IN1_2_OUT_6_clk_400,4,2,6,400,302,20,8.346,286.842,48111.124,48397.966
signed_mult_IN0_4_IN1_2_OUT_6_clk_500,4,2,6,500,402,20,8.346,286.553,41514.539,41801.092
signed_mult_IN0_4_IN1_2_OUT_6_clk_550,4,2,6,550,452,20,8.346,287.057,39952.272,40239.329
signed_mult_IN0_4_IN1_2_OUT_6_clk_600,4,2,6,600,502,20,8.346,286.896,37436.895,37723.791
signed_mult_IN0_4_IN1_2_OUT_6_clk_650,4,2,6,650,552,20,8.346,287.035,35978.941,36265.976
signed_mult_IN0_4_IN1_2_OUT_6_clk_700,4,2,6,700,602,20,8.346,286.704,33998.121,34284.826
signed_mult_IN0_4_IN1_2_OUT_6_clk_750,4,2,6,750,652,20,8.346,286.735,31847.259,32133.995
signed_mult_IN0_4_IN1_2_OUT_6_clk_800,4,2,6,800,702,20,8.346,287.050,30076.723,30363.773
signed_mult_IN0_4_IN1_4_OUT_8_clk_200,4,4,8,200,50,40,17.297,471.031,121687.965,122158.996
signed_mult_IN0_4_IN1_4_OUT_8_clk_300,4,4,8,300,150,40,17.297,467.505,100902.351,101369.857
signed_mult_IN0_4_IN1_4_OUT_8_clk_400,4,4,8,400,250,40,17.297,469.721,89728.677,90198.398
signed_mult_IN0_4_IN1_4_OUT_8_clk_500,4,4,8,500,350,40,17.297,469.104,79376.265,79845.369
signed_mult_IN0_4_IN1_4_OUT_8_clk_550,4,4,8,550,400,40,17.297,469.393,75310.723,75780.116
signed_mult_IN0_4_IN1_4_OUT_8_clk_600,4,4,8,600,450,40,17.297,469.972,71890.682,72360.654
signed_mult_IN0_4_IN1_4_OUT_8_clk_650,4,4,8,650,500,40,17.297,469.522,69331.948,69801.469
signed_mult_IN0_4_IN1_4_OUT_8_clk_700,4,4,8,700,550,40,17.297,470.370,66722.074,67192.444
signed_mult_IN0_4_IN1_4_OUT_8_clk_750,4,4,8,750,600,40,17.297,469.712,62201.101,62670.812
signed_mult_IN0_4_IN1_4_OUT_8_clk_800,4,4,8,800,650,40,17.297,469.700,59271.004,59740.704
signed_mult_IN0_8_IN1_1_OUT_9_clk_200,8,1,9,200,85,21,7.802,257.861,77825.497,78083.358
signed_mult_IN0_8_IN1_1_OUT_9_clk_300,8,1,9,300,185,21,7.802,262.710,56285.052,56547.762
signed_mult_IN0_8_IN1_1_OUT_9_clk_400,8,1,9,400,285,21,7.802,262.870,45283.241,45546.111
signed_mult_IN0_8_IN1_1_OUT_9_clk_500,8,1,9,500,385,21,7.802,262.819,37955.246,38218.065
signed_mult_IN0_8_IN1_1_OUT_9_clk_550,8,1,9,550,435,21,7.802,263.028,35152.166,35415.194
signed_mult_IN0_8_IN1_1_OUT_9_clk_600,8,1,9,600,485,21,7.802,262.869,33071.011,33333.881
signed_mult_IN0_8_IN1_1_OUT_9_clk_650,8,1,9,650,535,21,7.802,262.586,30837.386,31099.972
signed_mult_IN0_8_IN1_1_OUT_9_clk_700,8,1,9,700,585,21,7.802,262.861,29053.527,29316.389
signed_mult_IN0_8_IN1_1_OUT_9_clk_750,8,1,9,750,635,21,7.802,262.865,26944.457,27207.322
signed_mult_IN0_8_IN1_1_OUT_9_clk_800,8,1,9,800,685,21,7.802,262.969,25742.904,26005.873
signed_mult_IN0_8_IN1_2_OUT_10_clk_200,8,2,10,200,16,45,18.386,508.456,122993.562,123502.017
signed_mult_IN0_8_IN1_2_OUT_10_clk_300,8,2,10,300,116,45,18.386,508.071,116500.594,117008.665
signed_mult_IN0_8_IN1_2_OUT_10_clk_400,8,2,10,400,217,45,18.386,519.692,103296.477,103816.169
signed_mult_IN0_8_IN1_2_OUT_10_clk_500,8,2,10,500,317,45,18.386,520.814,91713.806,92234.621
signed_mult_IN0_8_IN1_2_OUT_10_clk_550,8,2,10,550,367,45,18.386,520.355,86405.730,86926.085
signed_mult_IN0_8_IN1_2_OUT_10_clk_600,8,2,10,600,417,45,18.386,520.680,84029.904,84550.584
signed_mult_IN0_8_IN1_2_OUT_10_clk_650,8,2,10,650,467,45,18.386,519.811,78283.515,78803.326
signed_mult_IN0_8_IN1_2_OUT_10_clk_700,8,2,10,700,517,45,18.386,519.811,73790.940,74310.751
signed_mult_IN0_8_IN1_2_OUT_10_clk_750,8,2,10,750,567,45,18.386,520.001,69945.575,70465.576
signed_mult_IN0_8_IN1_2_OUT_10_clk_800,8,2,10,800,617,45,18.386,520.164,66733.755,67253.920
signed_mult_IN0_8_IN1_4_OUT_12_clk_200,8,4,12,200,1,90,38.828,954.006,196500.083,197454.089
signed_mult_IN0_8_IN1_4_OUT_12_clk_300,8,4,12,300,10,74,34.353,1016.215,217830.183,218846.398
signed_mult_IN0_8_IN1_4_OUT_12_clk_400,8,4,12,400,90,74,34.050,987.718,212665.011,213652.729
signed_mult_IN0_8_IN1_4_OUT_12_clk_500,8,4,12,500,190,74,34.050,986.758,198858.255,199845.013
signed_mult_IN0_8_IN1_4_OUT_12_clk_550,8,4,12,550,240,74,34.050,988.550,193084.393,194072.943
signed_mult_IN0_8_IN1_4_OUT_12_clk_600,8,4,12,600,290,74,34.050,987.768,186048.800,187036.568
signed_mult_IN0_8_IN1_4_OUT_12_clk_650,8,4,12,650,340,74,34.050,986.997,178238.233,179225.230
signed_mult_IN0_8_IN1_4_OUT_12_clk_700,8,4,12,700,390,74,34.050,986.293,169827.691,170813.985
signed_mult_IN0_8_IN1_4_OUT_12_clk_750,8,4,12,750,440,74,34.050,987.945,164259.258,165247.203
signed_mult_IN0_8_IN1_4_OUT_12_clk_800,8,4,12,800,490,74,34.050,988.309,159646.157,160634.466
signed_mult_IN0_8_IN1_8_OUT_16_clk_200,8,8,16,200,0,205,97.373,2757.476,380476.324,383233.800
signed_mult_IN0_8_IN1_8_OUT_16_clk_300,8,8,16,300,0,159,80.680,1947.574,459776.090,461723.664
signed_mult_IN0_8_IN1_8_OUT_16_clk_400,8,8,16,400,14,156,73.483,1791.022,461786.320,463577.342
signed_mult_IN0_8_IN1_8_OUT_16_clk_500,8,8,16,500,99,147,73.362,1844.605,413906.706,415751.311
signed_mult_IN0_8_IN1_8_OUT_16_clk_550,8,8,16,550,149,147,73.362,1845.547,399105.624,400951.171
signed_mult_IN0_8_IN1_8_OUT_16_clk_600,8,8,16,600,199,147,73.362,1844.656,385102.595,386947.252
signed_mult_IN0_8_IN1_8_OUT_16_clk_650,8,8,16,650,249,147,73.362,1843.818,371242.850,373086.669
signed_mult_IN0_8_IN1_8_OUT_16_clk_700,8,8,16,700,299,147,73.362,1843.760,359188.282,361032.043
signed_mult_IN0_8_IN1_8_OUT_16_clk_750,8,8,16,750,349,147,73.362,1843.329,345502.340,347345.668
signed_mult_IN0_8_IN1_8_OUT_16_clk_800,8,8,16,800,399,147,73.362,1843.630,334253.203,336096.833
signed_mult_IN0_16_IN1_1_OUT_17_clk_200,16,1,17,200,76,42,16.330,537.482,144315.852,144853.335
signed_mult_IN0_16_IN1_1_OUT_17_clk_300,16,1,17,300,176,42,16.330,537.114,123214.555,123751.669
signed_mult_IN0_16_IN1_1_OUT_17_clk_400,16,1,17,400,277,42,16.330,541.210,99577.248,100118.458
signed_mult_IN0_16_IN1_1_OUT_17_clk_500,16,1,17,500,377,42,16.330,541.189,82546.901,83088.090
signed_mult_IN0_16_IN1_1_OUT_17_clk_550,16,1,17,550,427,42,16.330,541.317,75841.067,76382.384
signed_mult_IN0_16_IN1_1_OUT_17_clk_600,16,1,17,600,477,42,16.330,541.007,70993.683,71534.690
signed_mult_IN0_16_IN1_1_OUT_17_clk_650,16,1,17,650,527,42,16.330,540.942,65890.050,66430.992
signed_mult_IN0_16_IN1_1_OUT_17_clk_700,16,1,17,700,577,42,16.330,541.205,61768.216,62309.421
signed_mult_IN0_16_IN1_1_OUT_17_clk_750,16,1,17,750,627,42,16.330,541.057,58035.261,58576.318
signed_mult_IN0_16_IN1_1_OUT_17_clk_800,16,1,17,800,677,42,16.330,541.251,54124.126,54665.378
signed_mult_IN0_16_IN1_2_OUT_18_clk_200,16,2,18,200,1,64,29.030,1005.817,178971.312,179977.129
signed_mult_IN0_16_IN1_2_OUT_18_clk_300,16,2,18,300,69,60,27.760,977.210,167540.390,168517.599
signed_mult_IN0_16_IN1_2_OUT_18_clk_400,16,2,18,400,67,55,26.551,984.376,150729.123,151713.499
signed_mult_IN0_16_IN1_2_OUT_18_clk_500,16,2,18,500,138,55,26.490,978.515,136330.058,137308.573
signed_mult_IN0_16_IN1_2_OUT_18_clk_550,16,2,18,550,188,55,26.490,978.545,129281.739,130260.284
