Mult Type,Signed/Unsigned,Max supported precision (bits),Accumulator width (bits),Activation Precision (bits),Weight Precision (bits),Clock delay (ps),Slack (ps),Cell usage,Area,Leakage Power (nW),Dynamic Power (nW),Total Power (nW)
16x16-bit temporal mult,signed,16,32,16,16,200,-118,1742,923.772,37766.210,5098939.470,5136705.679
16x16-bit temporal mult,signed,16,32,16,16,300,-10,1878,1018.604,42186.751,6054582.886,6096769.636
16x16-bit temporal mult,signed,16,32,16,16,400,0,1140,560.287,16449.482,3183242.373,3199691.855
16x16-bit temporal mult,signed,16,32,16,16,500,0,941,494.122,13543.217,2627743.953,2641287.169
16x16-bit temporal mult,signed,16,32,16,16,550,0,924,470.716,11736.823,2391666.373,2403403.196
16x16-bit temporal mult,signed,16,32,16,16,600,0,841,448.096,11082.244,2170212.515,2181294.759
16x16-bit temporal mult,signed,16,32,16,16,650,0,842,445.617,10593.693,2070669.899,2081263.591
16x16-bit temporal mult,signed,16,32,16,16,700,1,786,428.561,10039.679,1941302.087,1951341.766
16x16-bit temporal mult,signed,16,32,16,16,750,0,805,440.355,10450.364,1912789.487,1923239.851
16x16-bit temporal mult,signed,16,32,16,16,800,1,775,430.194,9938.771,1815801.967,1825740.738
16x8-bit temporal mult,signed,16,32,16,8,200,-84,1572,875.992,35327.425,6410189.479,6445516.904
16x8-bit temporal mult,signed,16,32,16,8,300,0,1294,679.674,25582.069,4663568.766,4689150.836
16x8-bit temporal mult,signed,16,32,16,8,400,0,754,388.342,10268.758,2238214.359,2248483.116
16x8-bit temporal mult,signed,16,32,16,8,500,0,606,345.099,8335.085,1734001.433,1742336.518
16x8-bit temporal mult,signed,16,32,16,8,550,0,596,313.770,8022.092,1699023.312,1707045.404
16x8-bit temporal mult,signed,16,32,16,8,600,0,574,332.519,8370.129,1572881.215,1581251.343
16x8-bit temporal mult,signed,16,32,16,8,650,0,567,302.521,7591.164,1518525.438,1526116.601
16x8-bit temporal mult,signed,16,32,16,8,700,0,593,298.106,7258.224,1470418.843,1477677.068
16x8-bit temporal mult,signed,16,32,16,8,750,0,546,290.002,6932.805,1383584.710,1390517.515
16x8-bit temporal mult,signed,16,32,16,8,800,2,474,279.297,6367.860,1260864.111,1267231.971
16x4-bit temporal mult,signed,16,32,16,4,200,-66,1103,578.673,21041.060,5108278.872,5129319.932
16x4-bit temporal mult,signed,16,32,16,4,300,0,891,425.235,13669.077,2967252.569,2980921.646
16x4-bit temporal mult,signed,16,32,16,4,400,0,541,267.926,7102.380,1588014.124,1595116.503
16x4-bit temporal mult,signed,16,32,16,4,500,0,464,252.020,6089.471,1311126.688,1317216.159
16x4-bit temporal mult,signed,16,32,16,4,550,0,426,239.985,5516.011,1196972.879,1202488.890
16x4-bit temporal mult,signed,16,32,16,4,600,1,399,235.872,5490.948,1125770.395,1131261.343
16x4-bit temporal mult,signed,16,32,16,4,650,0,385,229.945,5086.898,1036329.588,1041416.486
16x4-bit temporal mult,signed,16,32,16,4,700,5,423,227.223,5411.312,1047541.438,1052952.750
16x4-bit temporal mult,signed,16,32,16,4,750,0,381,224.562,4837.236,947069.775,951907.011
16x4-bit temporal mult,signed,16,32,16,4,800,0,366,222.083,4781.743,902531.128,907312.871
16x2-bit temporal mult,signed,16,32,16,2,200,-42,921,488.981,17632.383,4471981.334,4489613.717
16x2-bit temporal mult,signed,16,32,16,2,300,0,653,322.479,10400.537,2302801.579,2313202.116
16x2-bit temporal mult,signed,16,32,16,2,400,0,482,222.506,5990.135,1372230.872,1378221.007
16x2-bit temporal mult,signed,16,32,16,2,500,0,397,207.567,5119.758,1103924.529,1109044.287
16x2-bit temporal mult,signed,16,32,16,2,550,0,385,203.213,4921.110,1007426.701,1012347.812
16x2-bit temporal mult,signed,16,32,16,2,600,0,360,196.258,4596.920,925350.713,929947.633
16x2-bit temporal mult,signed,16,32,16,2,650,3,371,192.145,4434.283,874785.664,879219.946
16x2-bit temporal mult,signed,16,32,16,2,700,0,374,192.629,4526.532,845650.221,850176.754
16x2-bit temporal mult,signed,16,32,16,2,750,0,299,183.557,4210.633,776452.568,780663.200
