Mult Type,Signed/Unsigned,Max Precision (bits),Min Precision (bits),Clock delay (ps),Slack (ps),Cell usage,Area,Leakage Power (nW),Dynamic Power (nW),Total Power (nW)
16:16 mult,unsigned,16,16,200,-11,1442,836.378,38932.859,3532142.793,3571075.653
16:16 mult,unsigned,16,16,300,0,720,352.961,9866.801,2300513.358,2310380.159
16:16 mult,unsigned,16,16,400,1,660,314.617,7742.339,1983525.509,1991267.847
16:16 mult,unsigned,16,16,500,3,634,307.420,7328.278,1806534.234,1813862.512
16:16 mult,unsigned,16,16,550,5,653,312.379,7701.288,1781513.599,1789214.886
16:16 mult,unsigned,16,16,600,0,605,303.549,7232.830,1662027.184,1669260.014
16:16 mult,unsigned,16,16,650,6,589,299.557,6873.721,1591001.531,1597875.251
16:16 mult,unsigned,16,16,700,3,580,299.013,6842.883,1522825.917,1529668.800
16:16 mult,unsigned,16,16,750,61,584,299.678,6921.292,1491091.552,1498012.844
16:16 mult,unsigned,16,16,800,55,563,295.868,6645.768,1408714.076,1415359.845
16:8 mult,unsigned,16,8,200,-95,2035,1107.933,47620.769,6927713.878,6975334.648
16:8 mult,unsigned,16,8,300,-1,2248,1151.963,47239.123,6683651.689,6730890.812
16:8 mult,unsigned,16,8,400,0,1090,536.155,15564.156,2649261.746,2664825.902
16:8 mult,unsigned,16,8,500,0,950,473.619,12711.337,2133213.966,2145925.303
16:8 mult,unsigned,16,8,550,0,862,444.407,11048.853,1905051.057,1916099.910
16:8 mult,unsigned,16,8,600,0,918,468.236,12282.822,1956411.757,1968694.579
16:8 mult,unsigned,16,8,650,0,849,444.165,11251.672,1783609.763,1794861.435
16:8 mult,unsigned,16,8,700,0,780,428.864,10219.235,1636101.389,1646320.624
16:8 mult,unsigned,16,8,750,8,720,417.614,9730.182,1519627.215,1529357.396
16:8 mult,unsigned,16,8,800,18,700,415.256,9668.220,1467348.424,1477016.643
16:4 mult,unsigned,16,4,200,-154,2895,1515.568,62425.583,9557580.581,9620006.164
16:4 mult,unsigned,16,4,300,-53,3048,1614.272,66926.964,8530772.139,8597699.103
16:4 mult,unsigned,16,4,400,0,2265,1126.500,42657.511,5312539.589,5355197.100
16:4 mult,unsigned,16,4,500,0,1722,777.410,24126.517,3353174.371,3377300.888
16:4 mult,unsigned,16,4,550,0,1709,789.022,25180.875,3309689.687,3334870.562
16:4 mult,unsigned,16,4,600,0,1683,797.126,26756.479,3276634.413,3303390.893
16:4 mult,unsigned,16,4,650,0,1571,750.375,23581.002,2892037.990,2915618.992
