words, bits, size, mux, frequency,x,y,volt,ac_core_rd,ac_peri_rd,ac_core_wr,ac_peri_wr,standby_core_chipdisable,standby_peri_chipdisable,standby_core_ret1,standby_peri_ret1,standby_core_selective_precharge,standby_peri_selective_precharge,deselect_core,deselect_peri,peak_core,peak_peri,inrush_core,inrush_peri,
2048, 8, 16384, 8, 1000,79.0650,52.3680,0.8500,0.155113,2.745171,0.290365,3.108926,9.318,2.099,8.087,5.979,8.078,1.935,0.000,0.688088,8.116936,33.368677,8.652995,32.202952,
2048, 8, 16384, 8, 500,79.0650,52.3680,0.8500,0.077557,1.372585,0.145183,1.554463,9.318,2.099,8.087,5.979,8.078,1.935,0.000,0.344044,8.116936,33.368677,8.652995,32.202952,
2048, 8, 16384, 8, 200,79.0650,52.3680,0.8500,0.031023,0.549034,0.058073,0.621785,9.318,2.099,8.087,5.979,8.078,1.935,0.000,0.137618,8.116936,33.368677,8.652995,32.202952,
4096, 4, 16384, 8, 1000,125.1450,36.2400,0.8500,0.141735,2.463716,0.243973,2.726414,1.133,1.851,1.079,5.813,1.009,1.675,0.000,0.951626,8.139129,30.768067,9.537821,26.929613,
4096, 4, 16384, 8, 500,125.1450,36.2400,0.8500,0.070867,1.231858,0.121986,1.363207,1.133,1.851,1.079,5.813,1.009,1.675,0.000,0.475813,8.139129,30.768067,9.537821,26.929613,
4096, 4, 16384, 8, 200,125.1450,36.2400,0.8500,0.028347,0.492743,0.048795,0.545283,1.133,1.851,1.079,5.813,1.009,1.675,0.000,0.190325,8.139129,30.768067,9.537821,26.929613,
4096, 4, 16384, 16, 1000,79.3350,52.3680,0.8500,0.155113,2.843313,0.290365,3.072397,9.318,2.117,8.087,6.007,8.078,1.947,0.000,0.742462,8.256186,28.73653,6.410632,43.05124,
4096, 4, 16384, 16, 500,79.3350,52.3680,0.8500,0.077557,1.421657,0.145183,1.536199,9.318,2.117,8.087,6.007,8.078,1.947,0.000,0.371231,8.256186,28.73653,6.410632,43.05124,
4096, 4, 16384, 16, 200,79.3350,52.3680,0.8500,0.031023,0.568663,0.058073,0.614479,9.318,2.117,8.087,6.007,8.078,1.947,0.000,0.148492,8.256186,28.73653,6.410632,43.05124,
2048, 16, 32768, 8, 1000,79.0650,84.6240,0.8500,0.181871,4.076135,0.383151,4.786489,1.257,2.833,1.134,6.927,1.133,2.520,0.000,0.688088,8.107814,44.057164,8.58729,45.450835,
2048, 16, 32768, 8, 500,79.0650,84.6240,0.8500,0.090936,2.038068,0.191575,2.393245,1.257,2.833,1.134,6.927,1.133,2.520,0.000,0.344044,8.107814,44.057164,8.58729,45.450835,
2048, 16, 32768, 8, 200,79.0650,84.6240,0.8500,0.036374,0.815227,0.07663,0.957298,1.257,2.833,1.134,6.927,1.133,2.520,0.000,0.137618,8.107814,44.057164,8.58729,45.450835,
4096, 8, 32768, 8, 1000,125.1450,52.3680,0.8500,0.155113,3.185754,0.290365,3.698361,1.458,2.336,1.404,6.594,1.334,2.000,0.000,0.951626,8.14385,35.238091,9.631796,35.02873,
4096, 8, 32768, 8, 500,125.1450,52.3680,0.8500,0.077557,1.592877,0.145183,1.84918,1.458,2.336,1.404,6.594,1.334,2.000,0.000,0.475813,8.14385,35.238091,9.631796,35.02873,
4096, 8, 32768, 8, 200,125.1450,52.3680,0.8500,0.031023,0.637151,0.058073,0.739672,1.458,2.336,1.404,6.594,1.334,2.000,0.000,0.190325,8.14385,35.238091,9.631796,35.02873,
4096, 8, 32768, 16, 1000,79.3350,84.6240,0.8500,0.181871,4.189671,0.383151,4.595067,1.257,2.835,1.134,6.914,1.133,2.511,0.000,0.742462,8.222858,37.401442,6.688858,55.155469,
4096, 8, 32768, 16, 500,79.3350,84.6240,0.8500,0.090936,2.094835,0.191575,2.297533,1.257,2.835,1.134,6.914,1.133,2.511,0.000,0.371231,8.222858,37.401442,6.688858,55.155469,
4096, 8, 32768, 16, 200,79.3350,84.6240,0.8500,0.036374,0.837934,0.07663,0.919013,1.257,2.835,1.134,6.914,1.133,2.511,0.000,0.148492,8.222858,37.401442,6.688858,55.155469,
8192, 4, 32768, 8, 1000,217.3050,36.2400,0.8500,0.141735,3.007711,0.243973,3.414894,2.173,2.459,2.166,8.737,2.007,2.113,0.000,1.254643,8.174393,36.255335,11.24177,29.63082,
8192, 4, 32768, 8, 500,217.3050,36.2400,0.8500,0.070867,1.503856,0.121986,1.707447,2.173,2.459,2.166,8.737,2.007,2.113,0.000,0.627322,8.174393,36.255335,11.24177,29.63082,
8192, 4, 32768, 8, 200,217.3050,36.2400,0.8500,0.028347,0.601542,0.048795,0.682979,2.173,2.459,2.166,8.737,2.007,2.113,0.000,0.250929,8.174393,36.255335,11.24177,29.63082,
8192, 4, 32768, 16, 1000,125.4150,52.3680,0.8500,0.155113,3.163722,0.290365,3.509187,1.458,2.355,1.404,6.622,1.334,2.012,0.000,0.885551,8.241481,31.923784,8.483321,46.36005,
8192, 4, 32768, 16, 500,125.4150,52.3680,0.8500,0.077557,1.581861,0.145183,1.754594,1.458,2.355,1.404,6.622,1.334,2.012,0.000,0.442776,8.241481,31.923784,8.483321,46.36005,
8192, 4, 32768, 16, 200,125.4150,52.3680,0.8500,0.031023,0.632744,0.058073,0.701837,1.458,2.355,1.404,6.622,1.334,2.012,0.000,0.17711,8.241481,31.923784,8.483321,46.36005,
2048, 32, 65536, 8, 1000,79.0650,149.1360,0.8500,0.235386,6.771538,0.568721,8.175918,1.916,4.302,1.792,8.780,1.791,3.689,0.000,0.688088,20.953343,75.599133,8.455881,71.946601,
2048, 32, 65536, 8, 500,79.0650,149.1360,0.8500,0.117693,3.385769,0.284361,4.087959,1.916,4.302,1.792,8.780,1.791,3.689,0.000,0.344044,20.953343,75.599133,8.455881,71.946601,
2048, 32, 65536, 8, 200,79.0650,149.1360,0.8500,0.047077,1.354308,0.113744,1.635184,1.916,4.302,1.792,8.780,1.791,3.689,0.000,0.137618,20.953343,75.599133,8.455881,71.946601,
4096, 16, 65536, 8, 1000,125.1450,84.6240,0.8500,0.181871,4.629829,0.383151,5.642254,2.109,3.308,2.055,8.154,1.985,2.650,0.000,0.951626,8.153291,44.178139,9.819745,51.226964,
4096, 16, 65536, 8, 500,125.1450,84.6240,0.8500,0.090936,2.314915,0.191575,2.821127,2.109,3.308,2.055,8.154,1.985,2.650,0.000,0.475813,8.153291,44.178139,9.819745,51.226964,
4096, 16, 65536, 8, 200,125.1450,84.6240,0.8500,0.036374,0.925966,0.07663,1.128451,2.109,3.308,2.055,8.154,1.985,2.650,0.000,0.190325,8.153291,44.178139,9.819745,51.226964,
4096, 16, 65536, 16, 1000,79.3350,149.1360,0.8500,0.235386,6.932065,0.568721,7.737876,1.916,4.269,1.792,8.684,1.791,3.638,0.000,0.742462,20.994472,62.720414,7.245311,79.363927,
4096, 16, 65536, 16, 500,79.3350,149.1360,0.8500,0.117693,3.466032,0.284361,3.868938,1.916,4.269,1.792,8.684,1.791,3.638,0.000,0.371231,20.994472,62.720414,7.245311,79.363927,
4096, 16, 65536, 16, 200,79.3350,149.1360,0.8500,0.047077,1.386413,0.113744,1.547575,1.916,4.269,1.792,8.684,1.791,3.638,0.000,0.148492,20.994472,62.720414,7.245311,79.363927,
8192, 8, 65536, 8, 1000,217.3050,52.3680,0.8500,0.155113,3.84286,0.290365,4.653171,2.824,3.182,2.817,1.013,2.658,2.503,0.000,1.254643,8.197677,38.97692,11.589398,40.680287,
8192, 8, 65536, 8, 500,217.3050,52.3680,0.8500,0.077557,1.92143,0.145183,2.326586,2.824,3.182,2.817,1.013,2.658,2.503,0.000,0.627322,8.197677,38.97692,11.589398,40.680287,
8192, 8, 65536, 8, 200,217.3050,52.3680,0.8500,0.031023,0.768572,0.058073,0.930634,2.824,3.182,2.817,1.013,2.658,2.503,0.000,0.250929,8.197677,38.97692,11.589398,40.680287,
8192, 8, 65536, 16, 1000,125.4150,84.6240,0.8500,0.181871,4.63197,0.383151,5.269601,2.109,3.309,2.055,8.141,1.985,2.641,0.000,0.885551,8.223756,40.121136,8.919328,61.376152,
8192, 8, 65536, 16, 500,125.4150,84.6240,0.8500,0.090936,2.315985,0.191575,2.6348,2.109,3.309,2.055,8.141,1.985,2.641,0.000,0.442776,8.223756,40.121136,8.919328,61.376152,
8192, 8, 65536, 16, 200,125.4150,84.6240,0.8500,0.036374,0.926394,0.07663,1.05392,2.109,3.309,2.055,8.141,1.985,2.641,0.000,0.17711,8.223756,40.121136,8.919328,61.376152,
16384, 4, 65536, 16, 1000,217.5750,52.3680,0.8500,0.155113,3.97859,0.290365,4.55682,2.824,3.201,2.817,1.016,2.658,2.514,0.000,1.345781,8.21207,38.298292,12.6287,52.97767,
16384, 4, 65536, 16, 500,217.5750,52.3680,0.8500,0.077557,1.989295,0.145183,2.27841,2.824,3.201,2.817,1.016,2.658,2.514,0.000,0.672891,8.21207,38.298292,12.6287,52.97767,
16384, 4, 65536, 16, 200,217.5750,52.3680,0.8500,0.031023,0.795718,0.058073,0.911364,2.824,3.201,2.817,1.016,2.658,2.514,0.000,0.269156,8.21207,38.298292,12.6287,52.97767,
2048, 64, 131072, 8, 1000,79.0650,278.1600,0.8500,0.342417,12.26319,0.939862,15.193699,3.218,7.239,3.094,1.257,3.092,6.028,0.000,0.688088,20.873688,127.374584,8.193063,124.938134,
2048, 64, 131072, 8, 500,79.0650,278.1600,0.8500,0.171208,6.131595,0.469931,7.596849,3.218,7.239,3.094,1.257,3.092,6.028,0.000,0.344044,20.873688,127.374584,8.193063,124.938134,
2048, 64, 131072, 8, 200,79.0650,278.1600,0.8500,0.068483,2.452638,0.187972,3.03874,3.218,7.239,3.094,1.257,3.092,6.028,0.000,0.137618,20.873688,127.374584,8.193063,124.938134,
4096, 32, 131072, 8, 1000,125.1450,149.1360,0.8500,0.235386,7.596127,0.568721,9.584617,3.419,5.251,3.364,1.123,3.293,3.949,0.000,0.951626,21.383908,74.950568,10.195644,83.623431,
4096, 32, 131072, 8, 500,125.1450,149.1360,0.8500,0.117693,3.798063,0.284361,4.792309,3.419,5.251,3.364,1.123,3.293,3.949,0.000,0.475813,21.383908,74.950568,10.195644,83.623431,
4096, 32, 131072, 8, 200,125.1450,149.1360,0.8500,0.047077,1.519225,0.113744,1.916923,3.419,5.251,3.364,1.123,3.293,3.949,0.000,0.190325,21.383908,74.950568,10.195644,83.623431,
4096, 32, 131072, 16, 1000,79.3350,278.1600,0.8500,0.342417,12.494014,0.939862,14.186294,3.218,7.137,3.094,1.231,3.092,5.894,0.000,0.742462,21.074062,106.38552,8.358217,127.780842,
4096, 32, 131072, 16, 500,79.3350,278.1600,0.8500,0.171208,6.247007,0.469931,7.093147,3.218,7.137,3.094,1.231,3.092,5.894,0.000,0.371231,21.074062,106.38552,8.358217,127.780842,
4096, 32, 131072, 16, 200,79.3350,278.1600,0.8500,0.068483,2.498803,0.187972,2.837259,3.218,7.137,3.094,1.231,3.092,5.894,0.000,0.148492,21.074062,106.38552,8.358217,127.780842,
8192, 16, 131072, 8, 1000,217.3050,84.6240,0.8500,0.181871,5.513158,0.383151,7.129726,4.126,4.628,4.118,1.292,3.960,3.282,0.000,1.254643,8.244245,44.42009,12.284655,62.779222,
8192, 16, 131072, 8, 500,217.3050,84.6240,0.8500,0.090936,2.756579,0.191575,3.564863,4.126,4.628,4.118,1.292,3.960,3.282,0.000,0.627322,8.244245,44.42009,12.284655,62.779222,
8192, 16, 131072, 8, 200,217.3050,84.6240,0.8500,0.036374,1.102632,0.07663,1.425945,4.126,4.628,4.118,1.292,3.960,3.282,0.000,0.250929,8.244245,44.42009,12.284655,62.779222,
8192, 16, 131072, 16, 1000,125.4150,149.1360,0.8500,0.235386,7.643141,0.568721,8.93428,3.419,5.218,3.364,1.114,3.293,3.898,0.000,0.885551,21.33875,63.000419,9.791342,91.408356,
8192, 16, 131072, 16, 500,125.4150,149.1360,0.8500,0.117693,3.821571,0.284361,4.46714,3.419,5.218,3.364,1.114,3.293,3.898,0.000,0.442776,21.33875,63.000419,9.791342,91.408356,
8192, 16, 131072, 16, 200,125.4150,149.1360,0.8500,0.047077,1.528628,0.113744,1.786856,3.419,5.218,3.364,1.114,3.293,3.898,0.000,0.17711,21.33875,63.000419,9.791342,91.408356,
16384, 8, 131072, 16, 1000,217.5750,84.6240,0.8500,0.181871,5.690621,0.383151,6.79272,4.126,4.629,4.118,1.290,3.960,3.273,0.000,1.345781,8.225551,45.560523,13.380268,73.817518,
16384, 8, 131072, 16, 500,217.5750,84.6240,0.8500,0.090936,2.845311,0.191575,3.39636,4.126,4.629,4.118,1.290,3.960,3.273,0.000,0.672891,8.225551,45.560523,13.380268,73.817518,
16384, 8, 131072, 16, 200,217.5750,84.6240,0.8500,0.036374,1.138124,0.07663,1.358544,4.126,4.629,4.118,1.290,3.960,3.273,0.000,0.269156,8.225551,45.560523,13.380268,73.817518,
2048, 128, 262144, 8, 1000,83.3850,556.0320,0.8500,0.684834,24.658748,1.879725,30.514194,6.436,0.014698,6.187,2.607,6.185,0.012278,0.000,1.513793,41.747375,254.749169,16.386126,249.876267,
2048, 128, 262144, 8, 500,83.3850,556.0320,0.8500,0.342417,12.329374,0.939862,15.257097,6.436,0.014698,6.187,2.607,6.185,0.012278,0.000,0.756897,41.747375,254.749169,16.386126,249.876267,
2048, 128, 262144, 8, 200,83.3850,556.0320,0.8500,0.136967,4.93175,0.375945,6.102839,6.436,0.014698,6.187,2.607,6.185,0.012278,0.000,0.302759,41.747375,254.749169,16.386126,249.876267,
4096, 64, 262144, 8, 1000,125.1450,278.1600,0.8500,0.342417,13.602876,0.939862,17.723725,6.022,9.137,5.967,1.748,5.897,6.547,0.000,0.951626,21.368716,128.201653,10.947441,148.416366,
4096, 64, 262144, 8, 500,125.1450,278.1600,0.8500,0.171208,6.801438,0.469931,8.861863,6.022,9.137,5.967,1.748,5.897,6.547,0.000,0.475813,21.368716,128.201653,10.947441,148.416366,
4096, 64, 262144, 8, 200,125.1450,278.1600,0.8500,0.068483,2.720575,0.187972,3.544745,6.022,9.137,5.967,1.748,5.897,6.547,0.000,0.190325,21.368716,128.201653,10.947441,148.416366,
4096, 64, 262144, 16, 1000,83.6550,556.0320,0.8500,0.684834,25.131384,1.879725,28.510399,6.436,0.014496,6.187,2.548,6.185,0.012013,0.000,1.633417,42.148125,212.771039,16.716434,255.561684,
4096, 64, 262144, 16, 500,83.6550,556.0320,0.8500,0.342417,12.565692,0.939862,14.2552,6.436,0.014496,6.187,2.548,6.185,0.012013,0.000,0.816708,42.148125,212.771039,16.716434,255.561684,
4096, 64, 262144, 16, 200,83.6550,556.0320,0.8500,0.136967,5.026277,0.375945,5.70208,6.436,0.014496,6.187,2.548,6.185,0.012013,0.000,0.326683,42.148125,212.771039,16.716434,255.561684,
8192, 32, 262144, 8, 1000,217.3050,149.1360,0.8500,0.235386,9.021246,0.568721,12.177956,6.743,7.512,6.734,1.893,6.576,4.832,0.000,1.254643,22.245038,73.653437,13.675169,106.977092,
8192, 32, 262144, 8, 500,217.3050,149.1360,0.8500,0.117693,4.510623,0.284361,6.088978,6.743,7.512,6.734,1.893,6.576,4.832,0.000,0.627322,22.245038,73.653437,13.675169,106.977092,
8192, 32, 262144, 8, 200,217.3050,149.1360,0.8500,0.047077,1.804249,0.113744,2.435591,6.743,7.512,6.734,1.893,6.576,4.832,0.000,0.250929,22.245038,73.653437,13.675169,106.977092,
