words, bits, size, mux, frequencyx,y,volt,ac_core_rd,ac_peri_rd,ac_core_wr,ac_peri_wr,standby_core_chipdisable,standby_peri_chipdisable,standby_core_ret1,standby_peri_ret1,standby_core_selective_precharge,standby_peri_selective_precharge,deselect_core,deselect_peri,peak_core,peak_peri,inrush_core,inrush_peri,
1024, 16, 16384, 8, 1000,55.1600,105.5900,0.9000,0.136012,2.710692,0.119114,2.935938,1.615,3.530,1.664,2.329,1.630,2.437,0.015561,0.156487,3.454253,20.052034,0.902408,20.052034,
1024, 16, 16384, 8, 500,55.1600,105.5900,0.9000,0.068006,1.355346,0.059557,1.467969,1.615,3.530,1.664,2.329,1.630,2.437,7.780,0.078243,3.454253,20.052034,0.902408,20.052034,
1024, 16, 16384, 8, 200,55.1600,105.5900,0.9000,0.027202,0.542138,0.023823,0.587188,1.615,3.530,1.664,2.329,1.630,2.437,3.112,0.031297,3.454253,20.052034,0.902408,20.052034,
2048, 8, 16384, 8, 1000,90.4200,68.4700,0.9000,0.128706,1.952421,0.123517,2.081707,1.760,2.977,1.808,1.965,1.775,2.019,0.014573,0.161932,3.407291,12.163994,0.90277,12.163994,
2048, 8, 16384, 8, 500,90.4200,68.4700,0.9000,0.064353,0.97621,0.061759,1.040853,1.760,2.977,1.808,1.965,1.775,2.019,7.286,0.080966,3.407291,12.163994,0.90277,12.163994,
2048, 8, 16384, 8, 200,90.4200,68.4700,0.9000,0.025741,0.390484,0.024703,0.416341,1.760,2.977,1.808,1.965,1.775,2.019,2.915,0.032386,3.407291,12.163994,0.90277,12.163994,
2048, 8, 16384, 16, 1000,55.1600,105.5900,0.9000,0.118721,2.650606,0.109056,2.70941,1.615,3.434,1.664,2.247,1.630,2.341,0.014403,0.144453,3.437357,19.947662,0.90256,19.947662,
2048, 8, 16384, 16, 500,55.1600,105.5900,0.9000,0.059361,1.325303,0.054528,1.354705,1.615,3.434,1.664,2.247,1.630,2.341,7.202,0.072227,3.437357,19.947662,0.90256,19.947662,
2048, 8, 16384, 16, 200,55.1600,105.5900,0.9000,0.023744,0.530121,0.021811,0.541882,1.615,3.434,1.664,2.247,1.630,2.341,2.881,0.028891,3.437357,19.947662,0.90256,19.947662,
4096, 4, 16384, 8, 1000,161.9800,49.9100,0.9000,0.11333,1.49969,0.111825,1.528249,2.051,2.727,2.099,1.790,2.066,1.838,0.017187,0.252118,4.031029,6.921338,0.903245,6.921338,
4096, 4, 16384, 8, 500,161.9800,49.9100,0.9000,0.056665,0.749845,0.055912,0.764125,2.051,2.727,2.099,1.790,2.066,1.838,8.593,0.126059,4.031029,6.921338,0.903245,6.921338,
4096, 4, 16384, 8, 200,161.9800,49.9100,0.9000,0.022666,0.299938,0.022365,0.30565,2.051,2.727,2.099,1.790,2.066,1.838,3.437,0.050424,4.031029,6.921338,0.903245,6.921338,
4096, 4, 16384, 16, 1000,90.4200,68.4700,0.9000,0.121453,1.944286,0.116421,1.967822,1.760,2.929,1.808,1.924,1.775,1.972,0.016048,0.174487,3.30188,12.65171,0.903177,12.65171,
4096, 4, 16384, 16, 500,90.4200,68.4700,0.9000,0.060727,0.972143,0.058211,0.983911,1.760,2.929,1.808,1.924,1.775,1.972,8.024,0.087244,3.30188,12.65171,0.903177,12.65171,
4096, 4, 16384, 16, 200,90.4200,68.4700,0.9000,0.024291,0.388857,0.023284,0.393564,1.760,2.929,1.808,1.924,1.775,1.972,3.210,0.034897,3.30188,12.65171,0.903177,12.65171,
4096, 4, 16384, 32, 1000,55.1600,105.5900,0.9000,0.112591,2.636826,0.108167,2.64349,1.615,3.363,1.664,2.199,1.630,2.270,0.016048,0.156075,3.429144,19.97424,0.90273,19.97424,
4096, 4, 16384, 32, 500,55.1600,105.5900,0.9000,0.056296,1.318413,0.054084,1.321745,1.615,3.363,1.664,2.199,1.630,2.270,8.024,0.078037,3.429144,19.97424,0.90273,19.97424,
4096, 4, 16384, 32, 200,55.1600,105.5900,0.9000,0.022518,0.527365,0.021633,0.528698,1.615,3.363,1.664,2.199,1.630,2.270,3.210,0.031215,3.429144,19.97424,0.90273,19.97424,
1024, 32, 32768, 8, 1000,55.1600,179.8300,0.9000,0.209789,4.632975,0.174167,5.180725,3.058,5.523,3.149,3.639,3.091,3.377,0.017588,0.157669,3.43574,34.44664,0.902866,30.63357,
1024, 32, 32768, 8, 500,55.1600,179.8300,0.9000,0.104895,2.316487,0.087084,2.590362,3.058,5.523,3.149,3.639,3.091,3.377,8.794,0.078834,3.43574,34.44664,0.902866,30.63357,
1024, 32, 32768, 8, 200,55.1600,179.8300,0.9000,0.041958,0.926595,0.034833,1.036145,3.058,5.523,3.149,3.639,3.091,3.377,3.518,0.031534,3.43574,34.44664,0.902866,30.63357,
